0 0.2 9486
0.2 0.4 8657
0.4 0.6 7834
0.6 0.8 7052
0.8 1 6512
1 1.2 5916
1.2 1.4 5251
1.4 1.6 4623
1.6 1.8 4254
1.8 2 3865
2 2.2 3440
2.2 2.4 3168
2.4 2.6 2837
2.6 2.8 2548
2.8 3 2319
3 3.2 2098
3.2 3.4 1951
3.4 3.6 1708
3.6 3.8 1624
3.8 4 1435
4 4.2 1296
4.2 4.4 1189
4.4 4.6 1056
4.6 4.8 929
4.8 5 835
5 5.2 787
5.2 5.4 728
5.4 5.6 635
5.6 5.8 569
5.8 6 521
6 6.2 476
6.2 6.4 430
6.4 6.6 374
6.6 6.8 322
6.8 7 354
7 7.2 282
7.2 7.4 255
7.4 7.6 265
7.6 7.8 200
7.8 8 185
8 8.2 163
8.2 8.4 139
8.4 8.6 133
8.6 8.8 121
8.8 9 122
9 9.2 110
9.2 9.4 99
9.4 9.6 96
9.6 9.8 64
9.8 10 65
10 10.2 54
10.2 10.4 60
10.4 10.6 55
10.6 10.8 49
10.8 11 33
11 11.2 37
11.2 11.4 34
11.4 11.6 24
11.6 11.8 25
11.8 12 20
12 12.2 22
12.2 12.4 21
12.4 12.6 19
12.6 12.8 15
12.8 13 14
13 13.2 12
13.2 13.4 10
13.4 13.6 10
13.6 13.8 8
13.8 14 9
14 14.2 13
14.2 14.4 9
14.4 14.6 4
14.6 14.8 6
14.8 15 4
15 15.2 3
15.2 15.4 3
15.4 15.6 7
15.6 15.8 4
15.8 16 1
16 16.2 4
16.2 16.4 2
16.4 16.6 2
16.6 16.8 2
16.8 17 2
17 17.2 2
17.2 17.4 0
17.4 17.6 2
17.6 17.8 2
17.8 18 0
18 18.2 3
18.2 18.4 3
18.4 18.6 2
18.6 18.8 1
18.8 19 0
19 19.2 1
19.2 19.4 1
19.4 19.6 0
19.6 19.8 1
19.8 20 1
